rank;personName;age;finalWorth;category;source;country;state;city;organization;selfMade;gender;birthDate;title;philanthropyScore
37;Li Ka-shing;93.0;34800;Diversified;diversified;Hong Kong;;;CK Hutchison Holdings;True;M;6/13/1928;Senior Advisor;1.0
37;Stephen Schwarzman;75.0;34800;Finance & Investments;investments;United States;New York;New York;Blackstone Group;True;M;2/14/1947;Chairman and CEO;2.0
39;Lee Shau Kee;94.0;32600;Real Estate;real estate;Hong Kong;;Hong Kong;;True;M;1/29/1928;;1.0
40;Len Blavatnik;64.0;32500;Diversified;music, chemicals;United Kingdom;;London;;True;M;6/1/1957;;2.0
41;Jacqueline Mars;82.0;31700;Food & Beverage;candy, pet food;United States;Virginia;The Plains;;False;F;10/10/1939;;1.0
41;John Mars;86.0;31700;Food & Beverage;candy, pet food;United States;Wyoming;Jackson;;False;M;10/15/1935;;1.0
43;Alain Wertheimer;73.0;31200;Fashion & Retail;Chanel;United States;New York;New York;;False;M;8/28/1948;;1.0
43;Gerard Wertheimer;71.0;31200;Fashion & Retail;Chanel;United States;New York;New York;;False;M;1/9/1951;;1.0
45;German Larrea Mota Velasco & family;68.0;30800;Metals & Mining;mining;Mexico;;Mexico City;;False;M;10/26/1953;;1.0
46;Gina Rinehart;68.0;30200;Metals & Mining;mining;Australia;;Perth;Hancock Prospecting;False;F;2/9/1954;Executive Chairman;1.0
47;Shiv Nadar;76.0;28700;Technology;software services;India;;Delhi;;True;M;7/18/1945;;1.0
48;Jim Simons;83.0;28600;Finance & Investments;hedge funds;United States;New York;East Setauket;Renaissance Technologies Corp.;True;M;4/25/1938;Founder;3.0
49;He Xiangjian;79.0;28300;Manufacturing;home appliances;China;;Foshan;;True;M;8/11/1942;;1.0
50;Miriam Adelson;76.0;27500;Gambling & Casinos;casinos;United States;Nevada;Las Vegas;;False;F;10/10/1945;;2.0
51;Dietrich Mateschitz;77.0;27400;Food & Beverage;Red Bull;Austria;;Fuschl am See;;True;M;5/20/1944;;1.0
52;Leonardo Del Vecchio & family;86.0;27300;Fashion & Retail;eyeglasses;Italy;;Milan;;True;M;5/22/1935;;1.0
53;Ken Griffin;53.0;27200;Finance & Investments;hedge funds;United States;Illinois;Chicago;Citadel LLC;True;M;10/15/1968;Founder & CEO;3.0
54;Tadashi Yanai & family;73.0;26100;Fashion & Retail;fashion retail;Japan;;Tokyo;;True;M;2/7/1949;;1.0
55;William Lei Ding;50.0;25200;Technology;online games;China;;Hangzhou;;True;M;10/1/1971;;1.0
56;Susanne Klatten;59.0;24300;Automotive;BMW, pharmaceuticals;Germany;;Bad Homburg;;False;F;4/28/1962;;1.0
56;Cyrus Poonawalla;80.0;24300;Healthcare;vaccines;India;;Pune;;False;M;5/11/1941;;1.0
56;Wang Wei;51.0;24300;Service;package delivery;China;;Shenzhen;;True;M;10/1/1970;;1.0
59;Qin Yinglin;56.0;24100;Food & Beverage;pig breeding;China;;Nanyang;;True;M;4/17/1965;;1.0
60;Sam Bankman-Fried;30.0;24000;Finance & Investments;cryptocurrency exchange;Bahamas;;Nassau;FTX;True;M;3/5/1992;Founder;1.0
61;Takemitsu Takizaki;76.0;23900;Manufacturing;sensors;Japan;;Osaka;;True;M;6/10/1945;;1.0
62;Li Shufu;58.0;23700;Automotive;automobiles;China;;Hangzhou;;True;M;6/1/1963;;1.0
63;Emmanuel Besnier;51.0;23500;Food & Beverage;cheese;France;;Laval;;False;M;9/18/1970;;1.0
64;R. Budi Hartono;81.0;23200;Finance & Investments;banking, tobacco;Indonesia;;Kudus;;False;M;1/1/1941;;1.0
65;Leonard Lauder;89.0;23100;Fashion & Retail;Estee Lauder;United States;New York;New York;The Estée Lauder Companies;False;M;3/19/1933;Chairman Emeritus ;2.0
66;Guillaume Pousaz;40.0;23000;Finance & Investments;fintech;;;;;True;M;8/15/1981;;1.0
67;Iris Fontbona & family;79.0;22800;Metals & Mining;mining;Chile;;Santiago;;False;F;1/1/1943;;1.0
67;Jack Ma;57.0;22800;Technology;e-commerce;China;;Hangzhou;Alibaba Group;True;M;9/10/1964;Founder and Executive Chairman;1.0
69;Michael Hartono;82.0;22300;Manufacturing;banking, tobacco;Indonesia;;Kudus;;False;M;10/2/1939;;1.0
70;Eric Schmidt;66.0;22100;Technology;Google;United States;California;Atherton;;True;M;4/27/1955;;2.0
71;Ray Dalio;72.0;22000;Finance & Investments;hedge funds;United States;Connecticut;Greenwich;Bridgewater Associates;True;M;8/8/1949;Founder & Co-Chief Investment Officer;2.0
71;Daniel Gilbert;60.0;22000;Finance & Investments;Quicken Loans;United States;Michigan;Franklin;;True;M;1/17/1962;;1.0
73;Thomas Frist, Jr. & family;83.0;21800;Healthcare;hospitals;United States;Tennessee;Nashville;;True;M;8/12/1938;;1.0
74;Masayoshi Son;64.0;21300;Telecom;internet, telecom;Japan;;Tokyo;Softbank;True;M;8/11/1957;CEO;1.0
75;Abigail Johnson;60.0;21200;Finance & Investments;money management;United States;Massachusetts;Milton;Fidelity Investments;False;F;12/19/1961;Chairman & CEO;1.0
76;Rupert Murdoch & family;91.0;20800;Media & Entertainment;newspapers, TV network;United States;New York;New York;News Corp;False;M;3/11/1931;Chairman and CEO;1.0
77;Stefan Quandt;55.0;20700;Automotive;BMW;Germany;;Frankfurt;;False;M;5/9/1966;;1.0
78;Jensen Huang;59.0;20600;Technology;semiconductors;United States;California;Los Altos;NVIDIA;True;M;2/17/1963;CEO & President;1.0
79;Huang Shilin;55.0;20300;Automotive;batteries;China;;Ningde;;True;M;1/1/1967;;1.0
80;Thomas Peterffy;77.0;20100;Finance & Investments;discount brokerage;United States;Florida;Palm Beach;;True;M;9/30/1944;;1.0
81;Radhakishan Damani;67.0;20000;Fashion & Retail;retail, investments;India;;Mumbai;;True;M;1/1/1955;;1.0
82;Pang Kang;66.0;19600;Food & Beverage;soy sauce;China;;Foshan;;True;M;1/19/1956;;1.0
83;Wang Chuanfu;56.0;19500;Automotive;batteries, automobiles;China;;Shenzhen;;True;M;2/15/1966;;1.0
84;Reinhold Wuerth & family;86.0;19000;Manufacturing;fasteners;Germany;;Kuenzelsau;;True;M;4/20/1935;;1.0
85;Theo Albrecht, Jr. & family;71.0;18700;Fashion & Retail;Aldi, Trader Joe's;Germany;;Mulheim an der Ruhr;;False;M;1/1/1951;;1.0
85;Yang Huiyan & family;40.0;18700;Real Estate;real estate;China;;Foshan;;False;F;9/27/1981;;1.0
87;Vladimir Lisin;65.0;18400;Metals & Mining;steel, transport;Russia;;Moscow;;True;M;5/7/1956;;1.0
88;Fan Hongwei & family;55.0;18200;Energy;petrochemicals;China;;Wujiang;;True;F;1/1/1967;;1.0
89;Lakshmi Mittal;71.0;17900;Metals & Mining;steel;United Kingdom;;London;ArcelorMittal (ADR);False;M;6/15/1950;Chairman and CEO;1.0
90;Andrew Forrest;60.0;17800;Metals & Mining;mining;Australia;;Perth;;True;M;11/18/1961;;1.0
91;Jiang Rensheng & family;68.0;17700;Healthcare;vaccines;China;;Chongqing;;True;M;10/8/1953;;1.0
91;Savitri Jindal & family;72.0;17700;Metals & Mining;steel;India;;Hisar;;False;F;3/20/1950;;1.0
91;Wang Wenyin;54.0;17700;Metals & Mining;mining, copper products;China;;Shenzhen;;True;M;1/1/1968;;1.0
94;Li Xiting;71.0;17600;Healthcare;medical devices;China;;Shenzhen;;True;M;1/1/1951;;1.0
94;Stefan Persson;74.0;17600;Fashion & Retail;H&M;Sweden;;Stockholm;H&M - Hennes & Mauritz;False;M;10/4/1947;Chairman;1.0
96;Steve Cohen;65.0;17400;Finance & Investments;hedge funds;United States;Connecticut;Greenwich;Point72 Asset Management;True;M;6/11/1956;Founder;3.0
97;Vladimir Potanin;61.0;17300;Metals & Mining;metals;Russia;;Moscow;;True;M;1/3/1961;;1.0
98;Harold Hamm & family;76.0;17200;Energy;oil & gas;United States;Oklahoma;Oklahoma City;Continental Resources;True;M;12/11/1945;Chairman and CEO;1.0
99;Sun Piaoyang;63.0;17100;Healthcare;pharmaceuticals;China;;Lianyungang;;True;M;9/1/1958;;1.0
100;Luo Liguo & family;66.0;17000;Manufacturing;chemicals;China;;Ningbo;;True;M;3/1/1956;;1.0
100;Peter Woo;75.0;17000;Real Estate;real estate;Hong Kong;;Hong Kong;;False;M;9/5/1946;;1.0
102;Gianluigi & Rafaela Aponte;81.0;16800;Logistics;Shipping;Switzerland;;Geneva;;True;;6/27/1940;;1.0
103;David Tepper;64.0;16700;Finance & Investments;hedge funds;United States;Florida;Palm Beach;Appaloosa Management;True;M;9/11/1957;President and Founder;2.0
104;Renata Kellnerova & family;54.0;16600;Finance & Investments;finance, telecommunications;Czechia;;Prague;;False;F;7/4/1967;;1.0
104;John Menard, Jr.;82.0;16600;Fashion & Retail;home improvement stores;United States;Wisconsin;Eau Claire;Menards;True;M;1/22/1940;Entrepreneur;1.0
106;Kumar Birla;54.0;16500;Diversified;commodities;India;;Mumbai;;False;M;6/14/1967;;1.0
106;Carl Icahn;86.0;16500;Finance & Investments;investments;United States;Florida;Indian Creek;Icahn Capital Management;True;M;2/16/1936;Founder;2.0
106;Hank & Doug Meijer;;16500;Fashion & Retail;supermarkets;United States;Michigan;Grand Rapids;;False;M;;;2.0
106;Lukas Walton;35.0;16500;Fashion & Retail;Walmart;United States;Wyoming;Jackson;;False;M;9/19/1986;;2.0
110;Laurene Powell Jobs & family;58.0;16400;Technology;Apple, Disney;United States;California;Palo Alto;Emerson Collective;False;F;11/6/1963;Investor, Philanthropist;1.0
111;James Ratcliffe;69.0;16300;Manufacturing;chemicals;United Kingdom;;London;;True;M;1/1/1953;;1.0
112;Donald Bren;89.0;16200;Real Estate;real estate;United States;California;Newport Beach;Irvine Company;True;M;5/11/1932;Chairman;4.0
113;Xu Hang;55.0;16100;Healthcare;medical devices;China;;Shenzhen;;True;M;5/22/1966;;1.0
114;Lu Xiangyang;59.0;15700;Automotive;automobiles, batteries;China;;Guangzhou;;True;M;12/28/1962;;1.0
115;Dilip Shanghvi;66.0;15600;Healthcare;pharmaceuticals;India;;Mumbai;;True;M;10/1/1955;;1.0
116;Wei Jianjun & family;58.0;15500;Automotive;automobiles;China;;Baoding;;True;M;3/1/1964;;1.0
117;Jorge Paulo Lemann & family;82.0;15400;Food & Beverage;beer;Switzerland;;Zurich;;True;M;8/26/1939;Investor, Philanthropist;1.0
117;Eyal Ofer;71.0;15400;Diversified;real estate, shipping;Monaco;;Monte Carlo;;False;M;6/2/1950;;1.0
119;Mike Cannon-Brookes;42.0;15300;Technology;software;Australia;;Sydney;;True;M;11/17/1979;;1.0
119;Wu Yajun;58.0;15300;Real Estate;real estate;China;;Beijing;Longfor Group Holdings;True;F;1/1/1964;Cofounder-chair;1.0
121;Charlene de Carvalho-Heineken & family;67.0;15200;Food & Beverage;Heineken;United Kingdom;;London;;False;F;6/30/1954;;1.0
121;Michael Platt;54.0;15200;Finance & Investments;hedge funds;Switzerland;;Geneva;BlueCrest Capital Management;True;M;3/18/1968;Founder ;1.0
123;Pavel Durov;37.0;15100;Technology;messaging app;United Arab Emirates;;Dubai;;True;M;10/10/1984;;1.0
123;Scott Farquhar;42.0;15100;Technology;software;Australia;;Sydney;;True;M;12/17/1979;;1.0
125;Pallonji Mistry;92.0;15000;Construction & Engineering;construction;India;;Mumbai;;False;M;6/1/1929;;1.0
126;Dang Yanbao;49.0;14800;Metals & Mining;coal;China;;Yinchuan;;True;M;2/1/1973;;1.0
127;Robert Pera;44.0;14600;Technology;wireless networking gear;United States;California;San Jose;Ubiquiti;True;M;3/10/1978;Chief Executive Officer;1.0
128;Donald Newhouse;92.0;14400;Media & Entertainment;media;United States;New York;New York;;False;M;8/5/1929;;1.0
129;Uday Kotak;63.0;14300;Finance & Investments;banking;India;;Mumbai;;True;M;3/15/1959;;1.0
130;Aliko Dangote;64.0;14000;Manufacturing;cement, sugar;Nigeria;;Lagos;Dangote Group;True;M;4/10/1957;CEO;1.0
130;Leonid Mikhelson;66.0;14000;Energy;gas, chemicals;Russia;;Moscow;;True;M;8/11/1955;;1.0
132;Sunil Mittal & family;64.0;13900;Telecom;telecom;India;;Delhi;;True;M;10/23/1957;;1.0
133;Robert & Philip Ng;;13700;Real Estate;real estate;Singapore;;Singapore;;False;M;;;1.0
134;Liu Hanyuan;58.0;13650;Food & Beverage;agribusiness;China;;Chengdu;;True;M;1/1/1964;;1.0
135;Joseph Lau;70.0;13600;Real Estate;real estate;Hong Kong;;Hong Kong;;True;M;7/21/1951;;1.0
135;Anders Holch Povlsen;49.0;13600;Fashion & Retail;fashion retail;Denmark;;Aarhus;;False;M;11/4/1972;;1.0
137;Dhanin Chearavanont;82.0;13500;Diversified;diversified;Thailand;;Bangkok;;False;M;4/19/1939;;1.0
138;Gong Hongjia & family;57.0;13200;Finance & Investments;video surveillance;Hong Kong;;Hong Kong;;True;M;1/1/1965;;1.0
138;Liu Yongxing;73.0;13200;Service;diversified;China;;Shanghai;East Hope Group;True;M;6/1/1948;Chairman;1.0
138;Alexey Mordashov;56.0;13200;Metals & Mining;steel, investments;Russia;;Moscow;;True;M;9/26/1965;;1.0
138;Wang Jianlin;67.0;13200;Real Estate;real estate;China;;Beijing;Dalian Wanda Group;True;M;10/1/1954;Chairman;1.0
142;David Duffield;81.0;12900;Technology;business software;United States;Nevada;Incline Village;Workday;True;M;9/21/1940;Entrepreneur;2.0
142;Li Zhenguo & family;54.0;12900;Manufacturing;solar wafers and modules;China;;Xi'an;;True;M;1/1/1968;;1.0
144;Harry Triguboff;89.0;12800;Real Estate;real estate;Australia;;Sydney;;True;M;3/3/1933;;1.0
144;Zhang Zhidong;50.0;12800;Technology;internet media;China;;Shenzhen;;True;M;1/1/1972;;1.0
146;Chen Bang;56.0;12700;Healthcare;hospitals;China;;Changsha;;True;M;9/1/1965;;1.0
146;John Doerr;70.0;12700;Technology;venture capital;United States;California;Woodside;Kleiner Perkins;True;M;6/29/1951;Investor;2.0
146;Hinduja brothers;;12700;Diversified;diversified;United Kingdom;;London;;False;M;;;1.0
149;Kwong Siu-hing;92.0;12600;Real Estate;real estate;Hong Kong;;Hong Kong;;False;F;12/2/1929;;1.0
150;Pei Zhenhua;63.0;12500;Energy;batteries;China;;Ningde;;True;M;1/1/1959;;1.0
151;Ricardo Salinas Pliego & family;66.0;12400;Fashion & Retail;retail, media;Mexico;;Mexico City;;False;M;10/19/1955;;1.0
152;Jim Pattison;93.0;12200;Diversified;diversified;Canada;;Vancouver;Jim Pattison Group;True;M;10/1/1928;Founder, Chairman and CEO;1.0
152;Charles Schwab;84.0;12200;Finance & Investments;discount brokerage;United States;California;Woodside;Charles Schwab;True;M;7/29/1937;Investor;2.0
154;Goh Cheng Liang;94.0;12100;Manufacturing;paints;Singapore;;Singapore;;True;M;6/27/1927;;1.0
154;Lin Jianhua & family;59.0;12100;Manufacturing;solar panel components;China;;Hangzhou;;True;M;8/1/1962;;1.0
156;Charoen Sirivadhanabhakdi;77.0;12000;Food & Beverage;alcohol, real estate;Thailand;;Bangkok;;True;M;5/2/1944;;1.0
156;Jeff Yass;63.0;12000;Finance & Investments;trading, investments;United States;Pennsylvania;Haverford;;True;M;7/17/1958;;1.0
158;John Fredriksen;77.0;11900;Logistics;shipping;United Kingdom;;London;;True;M;2/1/1945;Investor;1.0
158;Andreas Struengmann & family;72.0;11900;Healthcare;pharmaceuticals;Germany;;Tegernsee;;True;M;2/16/1950;;1.0
158;Thomas Struengmann & family;72.0;11900;Healthcare;pharmaceuticals;Germany;;Tegernsee;;True;M;2/16/1950;;1.0
161;Mikhail Fridman;57.0;11800;Energy;oil, banking, telecom;United Kingdom;;London;;True;M;4/21/1964;;1.0
161;Sarath Ratanavadi;56.0;11800;Energy;energy;Thailand;;Bangkok;;True;M;7/12/1965;;1.0
163;Robert Kuok;98.0;11700;Diversified;palm oil, shipping, property;Hong Kong;;Hong Kong;;True;M;10/6/1923;;1.0
163;Lei Jun;52.0;11700;Technology;smartphones;China;;Beijing;Xiaomi;True;M;12/16/1969;Founder and CEO;1.0
163;Zhang Congyuan;74.0;11700;Fashion & Retail;shoes;;;;;True;M;1/1/1948;;1.0
166;Lui Che Woo;93.0;11600;Gambling & Casinos;casinos/hotels;Hong Kong;;Hong Kong;;True;M;4/1/1929;;1.0
167;Brian Chesky;40.0;11500;Technology;Airbnb;United States;California;San Francisco;AirBnB;True;M;8/29/1981;CEO and Cofounder;1.0
167;Israel Englander;73.0;11500;Finance & Investments;hedge funds;United States;New York;New York;Millennium Management, L.L.C.;True;M;9/30/1948;Founder;1.0
167;Dustin Moskovitz;37.0;11500;Technology;Facebook;United States;California;San Francisco;Asana;True;M;5/22/1984;Cofounder;3.0
167;Alisher Usmanov;68.0;11500;Metals & Mining;steel, telecom, investments;Russia;;Moscow;Metalloinvest;True;M;9/9/1953;Founder;1.0
171;Jay Chaudhry;62.0;11400;Technology;security software;United States;Nevada;Reno;;True;M;8/26/1959;;1.0
171;Anthony Pratt;61.0;11400;Manufacturing;manufacturing;Australia;;Melbourne;;False;M;4/11/1960;;1.0
173;Colin Zheng Huang;42.0;11300;Technology;e-commerce;China;;Shanghai;;True;M;2/2/1980;;1.0
173;Jin Baofang;69.0;11300;Energy;solar panels;China;;Xingtai;;True;M;9/1/1952;;1.0
173;Pierre Omidyar;54.0;11300;Technology;eBay, PayPal;United States;Hawaii;Honolulu;eBay;True;M;6/21/1967;Entrepreneur;3.0
173;Gennady Timchenko;69.0;11300;Energy;oil, gas;Russia;;Moscow;;True;M;11/9/1952;;1.0
177;Carl Cook;59.0;11100;Healthcare;medical devices;United States;Indiana;Bloomington;;False;M;8/19/1962;;1.0
177;Andrey Melnichenko;50.0;11100;Metals & Mining;coal, fertilizers;Russia;;Moscow;;True;M;3/8/1972;;1.0
179;Xing Wang;43.0;11000;Technology;e-commerce;China;;Beijing;;True;M;2/18/1979;;1.0
180;Philip Anschutz;82.0;10900;Finance & Investments;investments;United States;Colorado;Denver;;False;M;12/28/1939;;3.0
180;David Cheriton;71.0;10900;Technology;Google;United States;California;Palo Alto;Stanford University;True;M;3/29/1951;Entrepreneur;1.0
180;Alexander Otto;54.0;10900;Real Estate;real estate;Germany;;Hamburg;;False;M;7/7/1967;;1.0
183;Diane Hendricks;75.0;10700;Construction & Engineering;roofing;United States;Wisconsin;Afton;ABC Supply;True;F;3/2/1947;Entrepreneur;1.0
183;Stanley Kroenke;74.0;10700;Sports;sports, real estate;United States;Texas;Electra;;True;M;7/29/1947;;1.0
185;Jerry Jones;79.0;10600;Sports;Dallas Cowboys;United States;Texas;Dallas;Dallas Cowboys;True;M;10/13/1942;President and General Manager;1.0
185;Quek Leng Chan;80.0;10600;Diversified;banking, property;Malaysia;;Kuala Lumpur;;False;M;8/12/1941;;1.0
185;Eduardo Saverin;40.0;10600;Technology;Facebook;Singapore;;Singapore;Meta Platforms;True;M;3/19/1982;Investor;1.0
188;Vagit Alekperov;71.0;10500;Energy;oil;Russia;;Moscow;;True;M;9/1/1950;;1.0
188;Richard Qiangdong Liu;48.0;10500;Technology;e-commerce;China;;Beijing;;True;M;3/10/1974;;1.0
188;Idan Ofer;66.0;10500;Diversified;drilling, shipping;United Kingdom;;London;;False;M;10/2/1955;;1.0
191;Melker Schorling & family;74.0;10400;Finance & Investments;investments;Sweden;;Stockholm;;True;M;5/15/1947;;1.0
192;Chase Coleman, III.;46.0;10300;Finance & Investments;investments;United States;New York;New York;Tiger Global Management;True;M;6/21/1975;Investor;1.0
192;Shuirong Li;65.0;10300;Manufacturing;petrochemicals;China;;Hangzhou;;True;M;7/1/1956;;1.0
192;Stefano Pessina;80.0;10300;Fashion & Retail;drugstores;Monaco;;Monte Carlo;;False;M;6/4/1941;;1.0
192;Mikhail Prokhorov;56.0;10300;Finance & Investments;investments;Russia;;Moscow;Brooklyn Nets;True;M;5/3/1965;Owner;1.0
192;Marcel Herrmann Telles;72.0;10300;Food & Beverage;beer;Brazil;;Sao Paulo;;True;M;1/1/1950;;1.0
197;Leon Black;70.0;10000;Finance & Investments;private equity;United States;New York;New York;;True;M;7/31/1951;;2.0
197;Joe Gebbia;40.0;10000;Technology;Airbnb;United States;California;San Francisco;AirBnB;True;M;8/21/1981;Chief Product Officer & Cofounder;1.0
197;David Geffen;79.0;10000;Media & Entertainment;movies, record labels;United States;California;Beverly Hills;DreamWorks Animation SKG Inc. (Cl A);True;M;2/21/1943;Entrepreneur;2.0
197;Yu Renrong;56.0;10000;Manufacturing;semiconductors;China;;Ningbo;;True;M;4/1/1966;;1.0
201;Andrew Beal;69.0;9900;Finance & Investments;banks, real estate;United States;Texas;Dallas;;True;M;11/29/1952;;1.0
201;George Kaiser;79.0;9900;Energy;oil & gas, banking;United States;Oklahoma;Tulsa;BOK Financial;False;M;7/29/1942;Chairman;4.0
201;Qi Shi & family;52.0;9900;Technology;financial information;China;;Shanghai;;True;M;1/3/1970;;1.0
201;Luis Carlos Sarmiento;89.0;9900;Finance & Investments;banking;Colombia;;Bogota;;True;M;1/27/1933;;1.0
201;Andreas von Bechtolsheim & family;66.0;9900;Technology;Google;United States;California;Palo Alto;Arista Networks;True;M;9/30/1955;Entrepreneur;1.0
206;Jan Koum;46.0;9800;Technology;WhatsApp;United States;California;Atherton;WhatsApp Inc.;True;M;2/24/1976;Entrepreneur;1.0
206;Jorge Moll Filho & family;77.0;9800;Healthcare;hospitals;Brazil;;Rio de Janeiro;;True;M;1/1/1945;;1.0
206;Azim Premji;76.0;9800;Technology;software services;India;;Bangalore;Wipro Limited (ADR);False;M;7/24/1945;Chairman;1.0
206;Finn Rausing;67.0;9800;Food & Beverage;packaging;United Kingdom;;London;;False;M;1/1/1955;;1.0
206;Jorn Rausing;62.0;9800;Food & Beverage;packaging;United Kingdom;;Surrey;;False;M;1/1/1960;;1.0
206;Kirsten Rausing;69.0;9800;Food & Beverage;packaging;United Kingdom;;Newmarket;;False;F;6/6/1952;;1.0
206;Wang Laisheng;57.0;9800;Technology;electronics components;China;;Shenzhen;;True;M;12/14/1964;;1.0
213;Tom & Judy Love;;9700;Fashion & Retail;retail & gas stations;United States;Oklahoma;Oklahoma City;Love's Travel Stops and Country Stores;True;;;Chairman and CEO;1.0
214;John Collison;31.0;9500;Technology;payments software;United States;California;San Francisco;Stripe;True;M;8/6/1990;Entrepreneur;1.0
214;Patrick Collison;33.0;9500;Technology;payment software;United States;California;San Francisco;Stripe;True;M;9/9/1988;Cofounder;1.0
214;Gordon Moore;93.0;9500;Technology;Intel;United States;California;Woodside;Intel;True;M;1/3/1929;Cofounder and Chairman Emeritus;5.0
214;Wang Laichun;54.0;9500;Technology;electronics components;China;;Shenzhen;;True;F;6/3/1967;;1.0
218;Graeme Hart;66.0;9400;Finance & Investments;investments;New Zealand;;Auckland;;True;M;6/6/1955;;1.0
